Time,RTT
11.8476,0.0315812
11.8476,0.0315086
11.8487,0.03157
11.8487,0.0314988
11.85,0.0315614
11.85,0.0314912
11.8511,0.0316798
11.8511,0.0315948
11.8522,0.0316455
11.8522,0.0315648
11.8534,0.0316192
11.8534,0.0315418
11.8545,0.0315991
11.8545,0.0315242
11.8556,0.0315837
11.8556,0.0315107
11.8567,0.0315719
11.8567,0.0315004
11.858,0.0315628
11.858,0.0314925
11.8591,0.0316809
11.8591,0.0315958
11.8602,0.0316463
11.8602,0.0315655
11.8614,0.0316198
11.8614,0.0315424
11.8625,0.0315996
11.8625,0.0315246
11.8636,0.031584
11.8636,0.031511
11.865,0.0315722
11.865,0.0315006
11.866,0.0315631
11.866,0.0313677
11.8671,0.0314467
11.8671,0.0313909
11.8682,0.031467
11.8682,0.0314086
11.8694,0.0314826
11.8694,0.0314222
11.8705,0.0314945
11.8705,0.0314326
11.8716,0.0315036
11.8716,0.0314406
11.8729,0.0315105
11.8729,0.0314467
11.874,0.0315159
11.874,0.0313264
11.8751,0.0314106
11.8751,0.0313593
11.8762,0.0314394
11.8762,0.0313844
11.8774,0.0314614
11.8774,0.0314037
11.8785,0.0314782
11.8785,0.0314185
11.8797,0.0314912
11.8797,0.0314298
11.8809,0.031501
11.8809,0.0314384
11.882,0.0315086
11.882,0.03132
11.8837,0.031405
11.8837,0.0314794
11.8842,0.0315445
11.8842,0.0316014
11.8854,0.0316512
11.8854,0.0316948
11.8865,0.031733
11.8865,0.0317664
11.8877,0.0317956
11.8877,0.0318211
11.8889,0.0318435
11.8889,0.031863
11.89,0.0318802
11.89,0.0318951
11.8911,0.0319082
11.8911,0.0319197
11.8922,0.0319298
11.8922,0.0319385
11.8934,0.0319462
11.8934,0.0319529
11.8946,0.0319588
11.8946,0.031964
11.8957,0.0319685
11.8957,0.0319724
11.8969,0.0319759
11.8969,0.0319789
11.898,0.0319815
11.898,0.0319838
11.8991,0.0319858
11.8991,0.0319876
11.9002,0.0319892
11.9002,0.0319905
11.9014,0.0319917
11.9014,0.0319927
11.9026,0.0319936
11.9026,0.0319944
11.9037,0.0319951
11.9037,0.0319957
11.905,0.0319963
11.905,0.0319967
11.906,0.0319971
11.906,0.0319975
11.9071,0.0319978
11.9071,0.0319981
11.9082,0.0319983
11.9082,0.0319985
11.9095,0.0319987
11.9095,0.0319989
11.9106,0.031999
11.9106,0.0319991
11.9117,0.0319992
11.9117,0.0319993
11.9129,0.0319994
11.9129,0.0319995
11.914,0.0319996
11.914,0.0319996
11.9151,0.0319997
11.9151,0.0319997
11.9164,0.0319997
11.9164,0.0319998
11.9175,0.0319998
11.9175,0.0319998
11.9186,0.0319998
11.9186,0.0319999
11.9197,0.0319999
11.9197,0.0319999
11.9209,0.0319999
11.9209,0.0319999
11.922,0.0319999
11.922,0.0319999
11.9231,0.0319999
11.9231,0.032
11.925,0.032
11.925,0.032
11.9256,0.032
11.9256,0.032
11.9266,0.032
11.9266,0.032
11.9277,0.032
11.9277,0.032
11.9295,0.032125
11.9295,0.0322344
11.93,0.0322051
11.93,0.0321794
11.9312,0.032157
11.9312,0.0321374
11.9324,0.0321202
11.9324,0.0321052
11.9335,0.032092
11.9335,0.0320805
11.9346,0.0320705
11.9346,0.0320617
11.9357,0.0320539
11.9357,0.0320472
11.9369,0.0320413
11.9369,0.0320361
11.938,0.0320316
11.938,0.0320277
11.9392,0.0320242
11.9392,0.0320212
11.9404,0.0320185
11.9404,0.0320162
11.9415,0.0320142
11.9415,0.0320124
11.9426,0.0320109
11.9426,0.0320095
11.9444,0.0321333
11.9444,0.0322417
11.945,0.0322114
11.945,0.032185
11.9461,0.0322869
11.9461,0.032376
11.9472,0.032329
11.9472,0.0322879
11.949,0.0322519
11.949,0.0322204
11.9495,0.0321929
11.9495,0.0321688
11.9506,0.0321477
11.9506,0.0321292
11.9517,0.0321131
11.9517,0.0320989
11.9529,0.0320866
11.9529,0.0320757
11.9541,0.0321913
11.9541,0.0322924
11.9552,0.0322558
11.9552,0.0322238
11.9564,0.0321959
11.9564,0.0321714
11.9575,0.03215
11.9575,0.0321312
11.9586,0.0321148
11.9586,0.0321005
11.9597,0.0320879
11.9597,0.0320769
11.961,0.0319423
11.961,0.0318245
11.9621,0.0319714
11.9621,0.0321
11.9632,0.0320875
11.9632,0.0320766
11.9644,0.032067
11.9644,0.0320586
11.9656,0.0320513
11.9656,0.0320449
11.9666,0.0320393
11.9666,0.0320344
11.9677,0.0320301
11.9677,0.0320263
11.969,0.032023
11.969,0.0320201
11.9701,0.0321426
11.9701,0.0322498
11.9712,0.0322186
11.9712,0.0321912
11.9724,0.0321673
11.9724,0.0321464
11.9735,0.0321281
11.9735,0.0321121
11.9746,0.0320981
11.9746,0.0320858
11.9759,0.0319501
11.9759,0.0318313
11.977,0.0318524
11.977,0.0318709
11.9781,0.031887
11.9781,0.0319011
11.9792,0.0319135
11.9792,0.0319243
11.9804,0.0319338
11.9804,0.031942
11.9815,0.0319493
11.9815,0.0319556
11.9827,0.0319612
11.9827,0.031966
11.9839,0.0319703
11.9839,0.031974
11.985,0.0319772
11.985,0.0319801
11.9861,0.0319826
11.9861,0.0319847
11.9872,0.0319867
11.9872,0.0319883
11.9884,0.0319898
11.9884,0.0319911
11.9895,0.0319922
11.9895,0.0319932
11.9907,0.031994
11.9907,0.0319948
11.9919,0.0319954
11.9919,0.031996
11.993,0.0319965
11.993,0.0319969
11.9941,0.0319973
11.9941,0.0319976
11.9952,0.0319979
11.9952,0.0319982
11.9964,0.0319984
11.9964,0.0319986
11.9976,0.0319988
11.9976,0.0319989
11.9987,0.0319991
11.9987,0.0319992
11.9999,0.0319993
11.9999,0.0319994
12.001,0.0319995
12.001,0.0319995
12.0021,0.0319996
12.0021,0.0319996
12.0032,0.0321247
12.0032,0.0321091
12.0044,0.0322205
12.0044,0.0321929
12.0056,0.0322938
12.0056,0.0322571
12.0067,0.0323499
12.0067,0.0323062
12.0079,0.0323929
12.0079,0.0323438
12.009,0.0324258
12.009,0.0323726
12.0101,0.032576
12.0101,0.032504
12.0112,0.032566
12.0112,0.0324953
12.0125,0.0325584
12.0125,0.0324886
12.0136,0.0325525
12.0136,0.0324834
12.0147,0.032548
12.0147,0.0324795
12.0159,0.0325446
12.0159,0.0324765
12.017,0.0325419
12.017,0.0324742
12.0181,0.0326649
12.0181,0.0325818
12.0192,0.0326341
12.0192,0.0325548
12.0205,0.0326105
12.0205,0.0325342
12.0216,0.0325924
12.0216,0.0325183
12.0227,0.0325785
12.0227,0.0325062
12.0239,0.0325679
12.0239,0.032497
12.025,0.0325598
12.025,0.0324899
12.0261,0.0326786
12.0261,0.0325938
12.0274,0.0326446
12.0274,0.032564
12.0285,0.0326185
12.0285,0.0325412
12.0296,0.0325985
12.0296,0.0325237
12.0307,0.0325833
12.0307,0.0325103
12.0319,0.0325716
12.0319,0.0325001
12.033,0.0325626
12.033,0.0324923
12.0341,0.0326807
12.0341,0.0325956
12.0354,0.0326462
12.0354,0.0325654
12.0365,0.0326197
12.0365,0.0325423
12.0376,0.0325995
12.0376,0.0325245
12.0387,0.032584
12.0387,0.032511
12.0399,0.0325721
12.0399,0.0325006
12.041,0.032563
12.041,0.0324926
12.0422,0.0326811
12.0422,0.0325959
12.0434,0.0326464
12.0434,0.0325656
12.0445,0.0326199
12.0445,0.0325424
12.0456,0.0325996
12.0456,0.0325247
12.0467,0.0325841
12.0467,0.0325111
12.0479,0.0325722
12.0479,0.0325007
12.049,0.0325631
12.049,0.0324927
12.0502,0.0326811
12.0502,0.032596
12.0514,0.0326465
12.0514,0.0325657
12.0525,0.03262
12.0525,0.0325425
12.0536,0.0325997
12.0536,0.0325247
12.0547,0.0325841
12.0547,0.0325111
12.0559,0.0325722
12.0559,0.0325007
12.0571,0.0326881
12.0571,0.0327271
12.0582,0.0328862
12.0582,0.0327754
12.0594,0.0328035
12.0594,0.0327031
12.0605,0.0327402
12.0605,0.0326477
12.0616,0.0326917
12.0616,0.0326052
12.0627,0.0326546
12.0627,0.0325728
12.064,0.0326262
12.064,0.0325479
12.0651,0.0327294
12.0651,0.0327632
12.0662,0.0329178
12.0662,0.0328031
12.0674,0.0328277
12.0674,0.0327242
12.0685,0.0327587
12.0685,0.0326639
12.0696,0.0327059
12.0696,0.0326177
12.0707,0.0326654
12.0707,0.0325823
12.072,0.0326345
12.072,0.0325552
12.0731,0.0327358
12.0731,0.0327688
12.0742,0.0329227
12.0742,0.0328074
12.0754,0.0328314
12.0754,0.0327275
12.0765,0.0327616
12.0765,0.0326664
12.0776,0.0327081
12.0776,0.0326196
12.0789,0.0326671
12.0789,0.0325837
12.08,0.0326358
12.08,0.0325563
12.0811,0.0327368
12.0811,0.0327697
12.0822,0.0329235
12.0822,0.032808
12.0834,0.032832
12.0834,0.032728
12.0845,0.032762
12.0845,0.0326668
12.0856,0.0327084
12.0856,0.0326199
12.0869,0.0326674
12.0869,0.032584
12.088,0.032636
12.088,0.0325565
12.0891,0.0327369
12.0891,0.0326448
12.0902,0.0326892
12.0902,0.032603
12.0914,0.0326527
12.0914,0.0325711
12.0925,0.0326247
12.0925,0.0325466
12.0937,0.0326033
12.0937,0.0325279
12.095,0.0325869
12.095,0.0325135
12.096,0.0325743
12.096,0.0325025
12.0971,0.0326897
12.0971,0.0326035
12.0982,0.0326531
12.0982,0.0325714
12.0994,0.032625
12.0994,0.0325469
12.1005,0.0326035
12.1005,0.0325281
12.1017,0.0325871
12.1017,0.0325137
12.1029,0.0325745
12.1029,0.0325027
12.104,0.0325648
12.104,0.0324942
12.1051,0.0326824
12.1051,0.0325971
12.1062,0.0326475
12.1062,0.0325666
12.1074,0.0326207
12.1074,0.0325431
12.1086,0.0326003
12.1086,0.0325252
12.1097,0.0325846
12.1097,0.0325115
12.1109,0.0325726
12.1109,0.032501
12.112,0.0325634
12.112,0.0324929
12.1131,0.0326813
12.1131,0.0325962
12.1142,0.0326466
12.1142,0.0325658
12.1154,0.0326201
12.1154,0.0325426
12.1166,0.0325997
12.1166,0.0325248
12.1177,0.0325842
12.1177,0.0325112
12.1189,0.0325723
12.1189,0.0325007
12.12,0.0325631
12.12,0.0324927
12.1211,0.0326812
12.1211,0.032596
12.1222,0.0326465
12.1222,0.0325657
12.1235,0.03262
12.1235,0.0325425
12.1246,0.0325997
12.1246,0.0326497
12.1257,0.0326935
12.1257,0.0327318
12.1269,0.0327653
12.1269,0.0327947
12.128,0.0328203
12.128,0.0328428
12.1291,0.0329874
12.1291,0.033114
12.1304,0.0330998
12.1304,0.0330873
12.1315,0.0330764
12.1315,0.0330668
12.1326,0.0330585
12.1326,0.0330512
12.1337,0.0330448
12.1337,0.0330392
12.135,0.0330343
12.135,0.03303
12.136,0.0330262
12.136,0.033023
12.1371,0.0331451
12.1371,0.033252
12.1384,0.0332205
12.1384,0.0331929
12.1395,0.0331688
12.1395,0.0331477
12.1406,0.0331292
12.1406,0.0331131
12.1417,0.0330989
12.1417,0.0330866
12.1429,0.0330757
12.1429,0.0330663
12.144,0.033058
12.144,0.0330507
12.1452,0.0331694
12.1452,0.0332732
12.1464,0.0332391
12.1464,0.0332092
12.1475,0.033183
12.1475,0.0331602
12.1486,0.0331401
12.1486,0.0331226
12.1497,0.0331073
12.1497,0.0330939
12.1509,0.0330821
12.1509,0.0330719
12.152,0.0330629
12.152,0.033055
12.1532,0.0331731
12.1532,0.0332765
12.1544,0.0332419
12.1544,0.0332117
12.1556,0.0331852
12.1556,0.0331621
12.1566,0.0331418
12.1566,0.0331241
12.1577,0.0331086
12.1577,0.033095
12.1589,0.0330831
12.1589,0.0330727
12.1601,0.0331886
12.1601,0.0332901
12.1612,0.0333788
12.1612,0.0334565
12.1624,0.0333994
12.1624,0.0333495
12.1635,0.0333058
12.1635,0.0332676
12.1646,0.0332341
12.1646,0.0332049
12.1657,0.0331792
12.1657,0.0331568
12.1669,0.0331372
12.1669,0.0331201
12.1681,0.0332301
12.1681,0.0333263
12.1692,0.0334105
12.1692,0.0334842
12.1704,0.0334237
12.1704,0.0333707
12.1715,0.0333244
12.1715,0.0332838
12.1726,0.0332484
12.1726,0.0332173
12.1737,0.0331901
12.1737,0.0331664
12.1756,0.0332706
12.1756,0.0333618
12.1761,0.0334415
12.1761,0.0335113
12.1772,0.0335724
12.1772,0.0336259
12.1784,0.0335476
12.1784,0.0334792
12.1795,0.0334193
12.1795,0.0333669
12.1806,0.033321
12.1806,0.0332809
12.1817,0.0332458
12.1817,0.0332151
12.183,0.0331882
12.183,0.0331646
12.1841,0.0332691
12.1841,0.0333604
12.1852,0.0334404
12.1852,0.0335103
12.1864,0.0334465
12.1864,0.0333907
12.1875,0.0333419
12.1875,0.0332991
12.1886,0.0332618
12.1886,0.033229
12.1899,0.0332004
12.1899,0.0331754
12.191,0.0331534
12.191,0.0331343
12.1921,0.0332425
12.1921,0.0333372
12.1932,0.033295
12.1932,0.0332581
12.1944,0.0332259
12.1944,0.0331976
12.1956,0.0331729
12.1956,0.0331513
12.1966,0.0331324
12.1966,0.0331159
12.1979,0.0331014
12.1979,0.0330887
12.199,0.0330776
12.199,0.0330679
12.2001,0.0331844
12.2001,0.0332864
12.2012,0.0332506
12.2012,0.0332192
12.2024,0.0331918
12.2024,0.0331679
12.2035,0.0331469
12.2035,0.0331285
12.2047,0.0331125
12.2047,0.0330984
12.2059,0.0330861
12.2059,0.0330753
12.207,0.0330659
12.207,0.0330577
12.2081,0.0330505
12.2081,0.0330442
12.2092,0.0330386
12.2092,0.0330338
12.2104,0.0330296
12.2104,0.0330259
12.2116,0.0330226
12.2116,0.0330198
12.2127,0.0330173
12.2127,0.0330152
12.2139,0.0330133
12.2139,0.0330116
12.215,0.0330102
12.215,0.0330089
12.2161,0.0331328
12.2161,0.0332412
12.2172,0.033211
12.2172,0.0331847
12.2184,0.0331616
12.2184,0.0331414
12.2196,0.0331237
12.2196,0.0331082
12.2207,0.0330947
