Time,RTT
6.18173,0.032584
6.18174,0.032511
6.18285,0.0325722
6.18286,0.0325006
6.18398,0.0325631
6.18399,0.0324927
6.1851,0.0326811
6.18511,0.032596
6.18635,0.0326465
6.18636,0.0325657
6.18748,0.0326199
6.18749,0.0325425
6.1886,0.0325996
6.18861,0.0325247
6.18973,0.0325841
6.18974,0.0325111
6.19085,0.0325722
6.19086,0.0325007
6.19198,0.0325631
6.19199,0.0324927
6.19323,0.0326811
6.19324,0.032596
6.19435,0.0326465
6.19436,0.0325657
6.1956,0.03262
6.19561,0.0325425
6.1966,0.0325997
6.19661,0.0325247
6.19773,0.0325841
6.19774,0.0325111
6.19885,0.0325722
6.19886,0.0325007
6.19998,0.0325631
6.19999,0.0324927
6.20123,0.0326811
6.20124,0.032596
6.20235,0.0326465
6.20236,0.0325657
6.20348,0.03262
6.20349,0.0325425
6.2046,0.0325997
6.20461,0.0325247
6.20573,0.0325841
6.20574,0.0325111
6.20685,0.0325722
6.20686,0.0325007
6.2081,0.0326881
6.20811,0.0327271
6.20923,0.0328862
6.20924,0.0327754
6.21035,0.0328035
6.21036,0.0327031
6.21148,0.0327402
6.21149,0.0326477
6.2126,0.0326917
6.21261,0.0326052
6.21373,0.0326546
6.21374,0.0325728
6.21498,0.0326262
6.21499,0.0325479
6.2161,0.0327294
6.21611,0.0327632
6.21723,0.0329178
6.21724,0.0328031
6.21835,0.0328277
6.21836,0.0327242
6.21948,0.0327587
6.21949,0.0326639
6.2206,0.0327059
6.22061,0.0326177
6.22173,0.0326654
6.22174,0.0325823
6.22298,0.0326345
6.22299,0.0325552
6.2241,0.0327358
6.22411,0.0327688
6.22523,0.0329227
6.22524,0.0328074
6.22635,0.0328314
6.22636,0.0327275
6.22748,0.0327616
6.22749,0.0326664
6.2286,0.0327081
6.22861,0.0326196
6.22973,0.0326671
6.22974,0.0325837
6.23098,0.0326358
6.23099,0.0325563
6.2321,0.0327368
6.23211,0.0327697
6.23323,0.0329235
6.23324,0.032808
6.23435,0.032832
6.23436,0.032728
6.2356,0.032762
6.23561,0.0326668
6.2366,0.0327084
6.23661,0.0326199
6.23785,0.0326674
6.23786,0.032584
6.23898,0.032636
6.23899,0.0325565
6.2401,0.0327369
6.24011,0.0326448
6.24123,0.0326892
6.24124,0.032603
6.24235,0.0326527
6.24236,0.0325711
6.24348,0.0326247
6.24349,0.0325466
6.2446,0.0326033
6.24461,0.0325279
6.24585,0.0325869
6.24586,0.0325135
6.24698,0.0325743
6.24699,0.0325025
6.2481,0.0326897
6.24811,0.0326035
6.24923,0.0326531
6.24924,0.0325714
6.25035,0.032625
6.25036,0.0325469
6.25148,0.0326035
6.25149,0.0325281
6.25273,0.0325871
6.25274,0.0325137
6.25385,0.0325745
6.25386,0.0325027
6.25498,0.0325648
6.25499,0.0324942
6.2561,0.0326824
6.25611,0.0325971
6.25723,0.0326475
6.25724,0.0325666
6.25835,0.0326207
6.25836,0.0325431
6.2596,0.0326003
6.25961,0.0325252
6.26073,0.0325846
6.26074,0.0325115
6.26185,0.0325726
6.26186,0.032501
6.26298,0.0325634
6.26299,0.0324929
6.2641,0.0326813
6.26411,0.0325962
6.26523,0.0326466
6.26524,0.0326908
6.26635,0.0327295
6.26636,0.0327633
6.2676,0.0327929
6.26761,0.0328188
6.26873,0.0328414
6.26874,0.0328612
6.26985,0.0328786
6.26986,0.0328938
6.27098,0.032907
6.27099,0.0329187
6.2721,0.0330538
6.27211,0.0331721
6.27323,0.0331506
6.27324,0.0331318
6.27448,0.0331153
6.27449,0.0331009
6.2756,0.0330883
6.27561,0.0330772
6.27673,0.0330676
6.27674,0.0330591
6.27785,0.0330517
6.27786,0.0330453
6.27898,0.0330396
6.27899,0.0330347
6.2801,0.0331553
6.28011,0.0332609
