% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
9.15788	1	0	0	1	915	8	1	1	4	15	1	0	28	1997
9.15813	1	0	0	1	915	8	3	1	4	13	1	0	28	1997
9.1585	1	0	0	1	915	8	6	1	4	15	1	0	28	1997
9.15875	1	0	0	1	915	9	0	1	4	14	1	0	28	1997
9.159	1	0	0	1	915	9	2	1	4	13	1	0	28	1997
9.15925	1	0	0	1	915	9	4	1	4	15	1	0	28	1997
9.15963	1	0	0	1	915	9	7	1	4	14	1	0	28	1997
9.15987	1	0	0	1	916	0	1	1	4	15	1	0	28	1997
9.16013	1	0	0	1	916	0	3	1	4	13	1	0	28	1997
9.1605	1	0	0	1	916	0	6	1	4	15	1	0	28	1997
9.16075	1	0	0	1	916	1	0	1	4	14	1	0	28	1997
9.161	1	0	0	1	916	1	2	1	4	13	1	0	28	1997
9.16125	1	0	0	1	916	1	4	1	4	15	1	0	28	1997
9.16163	1	0	0	1	916	1	7	1	4	14	1	0	28	1997
9.16188	1	0	0	1	916	2	1	1	4	15	1	0	28	1997
9.16212	1	0	0	1	916	2	3	1	4	13	1	0	28	1997
9.1625	1	0	0	1	916	2	6	1	4	15	1	0	28	1997
9.16275	1	0	0	1	916	3	0	1	4	14	1	0	28	1997
9.163	1	0	0	1	916	3	2	1	4	13	1	0	28	1997
9.16338	1	0	0	1	916	3	5	1	4	15	1	0	28	1997
9.16362	1	0	0	1	916	3	7	1	4	14	1	0	28	1997
9.16388	1	0	0	1	916	4	1	1	4	13	1	0	28	1997
9.16413	1	0	0	1	916	4	3	1	4	15	1	0	28	1997
9.1645	1	0	0	1	916	4	6	1	4	14	1	0	28	1997
9.16475	1	0	0	1	916	5	0	1	4	13	1	0	28	1997
9.165	1	0	0	1	916	5	2	1	4	15	1	0	28	1997
9.16537	1	0	0	1	916	5	5	1	4	14	1	0	28	1997
9.16563	1	0	0	1	916	5	7	1	4	15	1	0	28	1997
9.16587	1	0	0	1	916	6	1	1	4	13	1	0	28	1997
9.16612	1	0	0	1	916	6	3	1	4	14	1	0	28	1997
9.1665	1	0	0	1	916	6	6	1	4	15	1	0	28	1997
9.16675	1	0	0	1	916	7	0	1	4	14	1	0	28	1997
9.167	1	0	0	1	916	7	2	1	4	13	1	0	28	1997
9.16737	1	0	0	1	916	7	5	1	4	15	1	0	28	1997
9.16762	1	0	0	1	916	7	7	1	4	14	1	0	28	1997
9.16788	1	0	0	1	916	8	1	1	4	13	1	0	28	1997
9.16812	1	0	0	1	916	8	3	1	4	15	1	0	28	1997
9.1685	1	0	0	1	916	8	6	1	4	14	1	0	28	1997
9.16875	1	0	0	1	916	9	0	1	4	15	1	0	28	1997
9.169	1	0	0	1	916	9	2	1	4	13	1	0	28	1997
9.16938	1	0	0	1	916	9	5	1	4	15	1	0	28	1997
9.16962	1	0	0	1	916	9	7	1	4	14	1	0	28	1997
9.16987	1	0	0	1	917	0	1	1	4	13	1	0	28	1997
9.17013	1	0	0	1	917	0	3	1	4	15	1	0	28	1997
9.1705	1	0	0	1	917	0	6	1	4	14	1	0	28	1997
9.17075	1	0	0	1	917	1	0	1	4	15	1	0	28	1997
9.171	1	0	0	1	917	1	2	1	4	13	1	0	28	1997
9.17137	1	0	0	1	917	1	5	1	4	15	1	0	28	1997
9.17163	1	0	0	1	917	1	7	1	4	14	1	0	28	1997
9.17188	1	0	0	1	917	2	1	1	4	13	1	0	28	1997
9.17212	1	0	0	1	917	2	3	1	4	15	1	0	28	1997
9.1725	1	0	0	1	917	2	6	1	4	14	1	0	28	1997
9.17275	1	0	0	1	917	3	0	1	4	15	1	0	28	1997
9.173	1	0	0	1	917	3	2	1	4	13	1	0	28	1997
9.17338	1	0	0	1	917	3	5	1	4	15	1	0	28	1997
9.17362	1	0	0	1	917	3	7	1	4	14	1	0	28	1997
9.17388	1	0	0	1	917	4	1	1	4	13	1	0	28	1997
9.17413	1	0	0	1	917	4	3	1	4	15	1	0	28	1997
9.1745	1	0	0	1	917	4	6	1	4	14	1	0	28	1997
9.17475	1	0	0	1	917	5	0	1	4	13	1	0	28	1997
9.175	1	0	0	1	917	5	2	1	4	15	1	0	28	1997
9.17538	1	0	0	1	917	5	5	1	4	14	1	0	28	1997
9.17563	1	0	0	1	917	5	7	1	4	15	1	0	28	1997
9.17587	1	0	0	1	917	6	1	1	4	13	1	0	28	1997
9.17613	1	0	0	1	917	6	3	1	4	14	1	0	28	1997
9.1765	1	0	0	1	917	6	6	1	4	15	1	0	28	1997
9.17675	1	0	0	1	917	7	0	1	4	14	1	0	28	1997
9.177	1	0	0	1	917	7	2	1	4	13	1	0	28	1997
9.17737	1	0	0	1	917	7	5	1	4	15	1	0	28	1997
9.17763	1	0	0	1	917	7	7	1	4	14	1	0	28	1997
9.17788	1	0	0	1	917	8	1	1	4	13	1	0	28	1997
9.17825	1	0	0	1	917	8	4	1	4	15	1	0	28	1997
9.1785	1	0	0	1	917	8	6	1	4	14	1	0	28	1997
9.17875	1	0	0	1	917	9	0	1	4	13	1	0	28	1997
9.179	1	0	0	1	917	9	2	1	4	15	1	0	28	1997
9.17938	1	0	0	1	917	9	5	1	4	14	1	0	28	1997
9.17962	1	0	0	1	917	9	7	1	4	15	1	0	28	1997
