Time	CellId	RNTI	BWPId	SINR(dB)
22.3833	1	1	0	8.27455
22.3836	1	1	0	8.21434
22.3838	1	1	0	8.16284
22.3839	1	1	0	8.11974
22.3841	1	1	0	8.10551
22.3845	1	1	0	8.05813
22.3845	1	1	0	8.07266
22.3847	1	1	0	8.01652
22.3849	1	1	0	7.96045
22.3851	1	1	0	7.94887
22.3852	1	1	0	7.91281
22.3853	1	1	0	7.9095
22.3856	1	1	0	7.92679
22.3857	1	1	0	7.91935
22.3858	1	1	0	7.93769
22.3859	1	1	0	7.93414
22.386	1	1	0	7.93643
22.3862	1	1	0	7.93157
22.3863	1	1	0	7.93758
22.3864	1	1	0	7.92769
22.3865	1	1	0	7.87876
22.3867	1	1	0	7.87645
22.3868	1	1	0	7.88504
22.387	1	1	0	7.88405
22.3872	1	1	0	7.84808
22.3873	1	1	0	7.84958
22.3874	1	1	0	7.8165
22.3876	1	1	0	7.81901
22.3878	1	1	0	7.87825
22.3879	1	1	0	7.86408
22.3881	1	1	0	7.84788
22.3882	1	1	0	7.84004
22.3884	1	1	0	7.79804
22.3885	1	1	0	7.77898
22.3887	1	1	0	7.81047
22.3888	1	1	0	7.81915
22.389	1	1	0	7.79309
22.3892	1	1	0	7.79552
22.3893	1	1	0	7.81313
22.3896	1	1	0	7.80687
22.3898	1	1	0	7.84375
22.3901	1	1	0	7.86148
22.3902	1	1	0	7.87543
22.3904	1	1	0	7.92358
22.3906	1	1	0	7.92555
22.3907	1	1	0	7.97602
22.3908	1	1	0	7.99292
22.3909	1	1	0	8.0075
22.391	1	1	0	8.04158
22.3912	1	1	0	8.05556
22.3916	1	1	0	8.06579
22.3917	1	1	0	8.12569
22.3918	1	1	0	8.18597
22.3921	1	1	0	8.1993
22.3922	1	1	0	8.20943
22.3925	1	1	0	8.26604
22.3927	1	1	0	8.26776
22.3928	1	1	0	8.26205
22.393	1	1	0	8.31298
22.3933	1	1	0	8.41171
22.3934	1	1	0	8.43256
22.3936	1	1	0	8.40914
22.3938	1	1	0	8.44372
22.3939	1	1	0	8.46944
22.394	1	1	0	8.47236
22.3942	1	1	0	8.49025
22.3944	1	1	0	8.52594
22.3945	1	1	0	8.52467
22.3947	1	1	0	8.53944
22.3948	1	1	0	8.55721
22.3949	1	1	0	8.52973
22.395	1	1	0	8.56482
22.3953	1	1	0	8.60885
22.3954	1	1	0	8.62348
22.3956	1	1	0	8.62997
22.3956	1	1	0	8.67568
22.3958	1	1	0	8.7076
22.3961	1	1	0	8.75637
22.3965	1	1	0	8.77587
22.3967	1	1	0	8.78134
22.3969	1	1	0	8.76893
22.3971	1	1	0	8.74255
22.3973	1	1	0	8.71615
22.3975	1	1	0	8.6761
22.3977	1	1	0	8.65138
22.3978	1	1	0	8.65264
22.3979	1	1	0	8.62388
22.3981	1	1	0	8.61931
22.3984	1	1	0	8.59518
22.3986	1	1	0	8.57367
22.3987	1	1	0	8.55414
22.399	1	1	0	8.49394
22.399	1	1	0	8.4981
22.3993	1	1	0	8.48832
22.3994	1	1	0	8.45363
22.3996	1	1	0	8.43548
22.3997	1	1	0	8.4384
22.3998	1	1	0	8.44958
22.4001	1	1	0	8.58185
22.4002	1	1	0	8.57191
22.4005	1	1	0	8.56054
22.4007	1	1	0	8.55218
22.4008	1	1	0	8.56941
22.4009	1	1	0	8.56913
22.401	1	1	0	8.55525
22.4013	1	1	0	8.55651
22.4014	1	1	0	8.57827
22.4016	1	1	0	8.58885
22.4017	1	1	0	8.60943
22.4018	1	1	0	8.61567
22.402	1	1	0	8.61909
22.4022	1	1	0	8.61188
22.4025	1	1	0	8.62081
22.4027	1	1	0	8.6435
22.4028	1	1	0	8.66371
22.4029	1	1	0	8.68272
22.4031	1	1	0	8.68349
22.4033	1	1	0	8.71684
22.4034	1	1	0	8.73827
22.4035	1	1	0	8.73966
22.4037	1	1	0	8.76607
22.4038	1	1	0	8.78421
22.4039	1	1	0	8.78918
22.4041	1	1	0	8.7999
22.4042	1	1	0	8.7939
22.4043	1	1	0	8.80607
22.4044	1	1	0	8.80085
22.4045	1	1	0	8.83008
