tstamp,gnb_x,gnb_y,gnb_vx,gnb_vy,camera_x,camera_y,camera_vx,camera_vy,ue_x,ue_y,ue_vx,ue_vy,obs_x,obs_y,obs_vx,obs_vy,Blockage,Ploss (dB),SNR (dB),Throughput (Mbit/s)
12.4,6.66,5,0.4,0,0.28,9.53,0,0,5.487,8.623,1.6,0,3.794,7.017,0,0.1,FALSE,11.6,37.6,31.2
12.6,6.66,5,0,0,0.28,9.53,0,0,5.497,8.652,0.1,0.1,3.979,6.885,0.9,-0.7,FALSE,11.7,36.6,33.1
12.8,6.66,5,0,0,0.28,9.53,0,0,5.499,8.656,0,0,3.983,6.895,0,0.1,FALSE,11.7,35.7,32
13,6.66,5,0,0,0.28,9.53,0,0,5.484,8.615,-0.1,-0.2,3.794,7.017,-0.9,0.6,FALSE,11.6,35.3,34.3
13.2,6.59,5,-0.4,0,0.28,9.53,0,0,5.811,8.501,1.6,-0.6,3.977,6.878,0.9,-0.7,FALSE,11.1,35.3,34.5
13.4,6.52,5,-0.4,0,0.28,9.53,0,0,5.813,8.506,0,0,3.792,7.01,-0.9,0.7,FALSE,11.1,36.7,36.8
13.6,6.52,5,0,0,0.28,9.53,0,0,5.823,8.532,0,0.1,3.796,7.02,0,0,FALSE,11.1,37.1,36.7
13.8,6.52,5,0,0,0.28,9.53,0,0,5.832,8.558,0,0.1,3.788,7,0,-0.1,FALSE,11.2,36.5,34.2
14,6.52,5,0,0,0.28,9.53,0,0,5.839,8.576,0,0.1,3.979,6.885,1,-0.6,FALSE,11.2,37.3,35.2
14.2,6.45,5,-0.3,0,0.28,9.53,0,0,5.867,8.654,0.1,0.4,3.978,6.881,0,0,FALSE,11.4,35.8,35
14.4,6.45,5,0,0,0.28,9.53,0,0,5.869,8.659,0,0,3.793,7.014,-0.9,0.7,FALSE,11.4,35.9,37.8
14.6,6.38,5,-0.4,0,0.28,9.53,0,0,5.883,8.698,0.1,0.2,3.978,6.881,0.9,-0.7,FALSE,11.4,36,36.1
14.8,6.24,5,-0.7,0,0.28,9.53,0,0,5.893,8.724,0,0.1,3.982,6.892,0,0.1,FALSE,11.5,35.5,34.8
