% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.05138	1	0	0	1	305	1	5	1	4	13	1	0	28	1997
3.05163	1	0	0	1	305	1	7	1	4	15	1	0	28	1997
3.052	1	0	0	1	305	2	2	1	4	13	1	0	28	1997
3.05225	1	0	0	1	305	2	4	1	4	15	1	0	26	1845
3.0525	1	0	0	1	305	2	6	1	4	14	1	0	26	1845
3.05287	1	0	0	1	305	3	1	1	4	15	1	0	28	1997
3.05313	1	0	0	1	305	3	3	1	4	14	1	0	28	1997
3.05337	1	0	0	1	305	3	5	1	4	13	1	0	28	1997
3.05362	1	0	0	1	305	3	7	1	4	15	1	0	28	1997
3.054	1	0	0	1	305	4	2	1	4	14	1	0	28	1997
3.05425	1	0	0	1	305	4	4	1	4	15	1	0	28	1997
3.0545	1	0	0	1	305	4	6	1	4	13	1	0	28	1997
3.05488	1	0	0	1	305	5	1	1	4	15	1	0	28	1997
3.05512	1	0	0	1	305	5	3	1	4	14	1	0	28	1997
3.05538	1	0	0	1	305	5	5	1	4	13	1	0	28	1997
3.05563	1	0	0	1	305	5	7	1	4	15	1	0	28	1997
3.056	1	0	0	1	305	6	2	1	4	14	1	0	28	1997
3.05625	1	0	0	1	305	6	4	1	4	15	1	0	28	1997
3.0565	1	0	0	1	305	6	6	1	4	13	1	0	28	1997
3.05687	1	0	0	1	305	7	1	1	4	15	1	0	28	1997
3.05713	1	0	0	1	305	7	3	1	4	14	1	0	28	1997
3.05737	1	0	0	1	305	7	5	1	4	13	1	0	28	1997
3.05762	1	0	0	1	305	7	7	1	4	15	1	0	28	1997
3.058	1	0	0	1	305	8	2	1	4	13	1	0	28	1997
3.05825	1	0	0	1	305	8	4	1	4	15	1	0	28	1997
3.0585	1	0	0	1	305	8	6	1	4	14	1	0	28	1997
3.059	1	0	0	1	305	9	2	1	4	13	1	0	28	1997
3.05912	1	0	0	1	305	9	3	1	4	14	1	0	28	1997
3.05938	1	0	0	1	305	9	5	1	4	12	1	0	28	1997
3.05963	1	0	0	1	305	9	7	1	4	15	1	0	26	1845
3.06013	1	0	0	1	306	0	3	1	4	13	1	0	26	1845
3.06025	1	0	0	1	306	0	4	1	4	15	1	0	26	1845
3.0605	1	0	0	1	306	0	6	1	4	14	1	0	26	1845
3.06087	1	0	0	1	306	1	1	1	4	15	1	0	26	1845
3.06113	1	0	0	1	306	1	3	1	4	14	1	0	26	1845
3.06137	1	0	0	1	306	1	5	1	4	13	1	0	26	1845
3.06162	1	0	0	1	306	1	7	1	4	15	1	0	26	1845
3.062	1	0	0	1	306	2	2	1	4	14	1	0	26	1845
3.06225	1	0	0	1	306	2	4	1	4	15	1	0	26	1845
3.0625	1	0	0	1	306	2	6	1	4	13	1	0	28	1997
3.06288	1	0	0	1	306	3	1	1	4	15	1	0	28	1997
3.06312	1	0	0	1	306	3	3	1	4	14	1	0	28	1997
3.06338	1	0	0	1	306	3	5	1	4	13	1	0	28	1997
3.06375	1	0	0	1	306	4	0	1	4	15	1	0	28	1997
3.064	1	0	0	1	306	4	2	1	4	14	1	0	28	1997
3.06425	1	0	0	1	306	4	4	1	4	13	1	0	28	1997
3.0645	1	0	0	1	306	4	6	1	4	15	1	0	28	1997
3.06487	1	0	0	1	306	5	1	1	4	14	1	0	28	1997
3.06513	1	0	0	1	306	5	3	1	4	15	1	0	28	1997
3.06537	1	0	0	1	306	5	5	1	4	13	1	0	28	1997
3.06575	1	0	0	1	306	6	0	1	4	15	1	0	28	1997
3.066	1	0	0	1	306	6	2	1	4	14	1	0	28	1997
3.06625	1	0	0	1	306	6	4	1	4	13	1	0	26	1845
3.0665	1	0	0	1	306	6	6	1	4	12	1	0	26	1845
3.06688	1	0	0	1	306	7	1	1	4	13	1	0	26	1845
3.06712	1	0	0	1	306	7	3	1	4	15	1	0	26	1845
3.06738	1	0	0	1	306	7	5	1	4	14	1	0	26	1845
3.06775	1	0	0	1	306	8	0	1	4	15	1	0	26	1845
3.068	1	0	0	1	306	8	2	1	4	14	1	0	26	1845
3.06825	1	0	0	1	306	8	4	1	4	13	1	0	26	1845
3.0685	1	0	0	1	306	8	6	1	4	15	1	0	26	1845
3.06887	1	0	0	1	306	9	1	1	4	14	1	0	26	1845
3.06913	1	0	0	1	306	9	3	1	4	15	1	0	26	1845
3.06937	1	0	0	1	306	9	5	1	4	13	1	0	26	1845
